District,Category,Capacity,Nbhood,Latitude,Longitude,Care Category,Capacity Category,Bed Capacity,Desired Bed Capacity,Capacity Difference
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00105292,28.86153661,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BEYOĞLU,Clinic,,CİHANGİR,41.03511549,28.98477554,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KADIKÖY,Policlinic,0.0,RASİMPAŞA,40.99766433,29.02375532,Public Health Care,Low Capacity,6.395012468827931,75.57506234413965,69.18004987531172
BAKIRKÖY,Policlinic Private,0.0,ŞENLİKKÖY,40.98368861,28.79475423,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
KÜÇÜKÇEKMECE,Red Crescent,,TEVFİKBEY,41.00727817,28.79584625,Public Health Care,,0.0,0.0,0.0
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00505222,28.87108661,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ESENYURT,Emergency Station,3.0,NECİP FAZIL KISAKÜREK,41.03158633,28.65785468,Emergency Care,Emergency Location,,0.0,
BEYOĞLU,Private Hospital,27.0,PİYALEPAŞA,41.05257142,28.96006803,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
ÜSKÜDAR,Policlinic,0.0,AHMEDİYE,41.01998908,29.01479651,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.0076332,28.86908937,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
PENDİK,Public Hospital,100.0,BATI,40.87712037,29.22980993,Public Health Care,High Capacity,477.0976744186046,0.0,-477.0976744186046
KADIKÖY,Policlinic Private,0.0,CADDEBOSTAN,40.96795037,29.06579591,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
ŞİŞLİ,Policlinic Private,0.0,ESKİŞEHİR,41.04791542,28.98055348,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
KÜÇÜKÇEKMECE,Private Hospital,61.0,MEHMET AKİF,41.06127787,28.80170064,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
KÜÇÜKÇEKMECE,Policlinic,0.0,İNÖNÜ,41.02624425,28.79755246,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BEYOĞLU,Research Hospital,100.0,BEREKETZADE,41.02478927,28.97370639,Research Care,High Capacity,146.86486486486487,0.0,-146.86486486486487
EYÜPSULTAN,Red Crescent,,MERKEZ,41.04740777,28.93577617,Public Health Care,,0.0,0.0,0.0
BAĞCILAR,Private Hospital,51.0,GÜNEŞLİ,41.04013916,28.82554274,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
PENDİK,Clinic,,ORTA,40.88846421,29.24359698,Public Health Care,Low Capacity,6.395012468827931,31.97506234413965,25.580049875311722
ŞİŞLİ,Policlinic Private,0.0,TEŞVİKİYE,41.05525876,28.99587751,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00164527,28.8613227,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00436302,28.8710793,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
AVCILAR,Clinic,,CİHANGİR,40.9895535,28.70543267,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KARTAL,Emergency Station,3.0,YUKARI,40.88809323,29.18228972,Emergency Care,Emergency Location,,0.0,
BAHÇELİEVLER,Clinic,,ŞİRİNEVLER,40.99575928,28.85007452,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,ŞİRİNEVLER,40.99300981,28.84538066,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KÜÇÜKÇEKMECE,Private Hospital,69.0,TEVFİKBEY,41.00781883,28.79837796,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BEŞİKTAŞ,Policlinic,0.0,LEVENT,41.07447524,29.01583544,Public Health Care,Low Capacity,6.395012468827931,33.6,27.204987531172073
FATİH,Policlinic Private,0.0,YAVUZ SULTAN SELİM,41.02358377,28.95166771,Private Health Care,Low Capacity,40.27368421052631,0.6,-39.67368421052631
TUZLA,Policlinic,38.0,İÇMELER,40.8444615,29.30327694,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KAĞITHANE,Clinic,,ÇELİKTEPE,41.08317711,29.00324817,Public Health Care,Low Capacity,6.395012468827931,50.00000000000001,43.60498753117208
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00365379,28.87319651,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,ŞİRİNEVLER,40.99681475,28.84293057,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ARNAVUTKÖY,Clinic,,TERKOS,41.30294828,28.6770367,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
FATİH,Red Crescent,,BALABANAĞA,41.01126247,28.9591988,Public Health Care,,0.0,0.0,0.0
ESENLER,Red Crescent,,KEMER,41.05005939,28.87943365,Public Health Care,,0.0,0.0,0.0
BAHÇELİEVLER,Clinic,,SİYAVUŞPAŞA,41.00251163,28.85957055,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ÜSKÜDAR,Private Hospital,62.0,ALTUNİZADE,41.0198541,29.03458128,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
ÜSKÜDAR,Public Hospital,176.0,BARBAROS,41.0154471,29.03879733,Public Health Care,High Capacity,477.0976744186046,0.0,-477.0976744186046
ŞİŞLİ,Policlinic,,19 MAYIS,41.05728552,28.99005642,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00524882,28.87151476,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ŞİŞLİ,Private Hospital,174.0,MERKEZ,41.06462491,28.98044046,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BAHÇELİEVLER,Clinic,,ŞİRİNEVLER,40.9944234,28.84547252,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAKIRKÖY,Policlinic Private,0.0,ZUHURATBABA,40.9804802,28.868151,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
PENDİK,Clinic,,GÜLLÜ BAĞLAR,40.89599219,29.27329401,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KADIKÖY,Policlinic,0.0,ERENKÖY,40.97216664,29.07642497,Public Health Care,Low Capacity,6.395012468827931,1.0,-5.395012468827931
ÜSKÜDAR,Private Hospital,,KISIKLI,41.02407185,29.08198618,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
ŞİŞLİ,Private Hospital,43.0,GÜLBAHAR,41.06725517,29.00119557,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
PENDİK,Private Hospital,66.0,KURTKÖY,40.91068665,29.29813508,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
KAĞITHANE,Clinic,,ÇELİKTEPE,41.08367,29.004294,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
AVCILAR,Public Hospital,100.0,ÜNİVERSİTE,40.98475743,28.73148152,Public Health Care,High Capacity,477.0976744186046,0.0,-477.0976744186046
KADIKÖY,Red Crescent,,OSMANAĞA,40.99315231,29.02508654,Public Health Care,,0.0,0.0,0.0
ÜMRANİYE,Private Hospital,49.0,SARAY,41.02999764,29.11438485,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
PENDİK,Clinic,,ESENYALI,40.86224617,29.29502984,Public Health Care,Low Capacity,6.395012468827931,27.65,21.25498753117207
PENDİK,Public Hospital,100.0,BAHÇELİEVLER,40.88060192,29.23710209,Public Health Care,High Capacity,477.0976744186046,105.0,-372.0976744186046
KADIKÖY,Policlinic Private,0.0,CADDEBOSTAN,40.96937124,29.06445741,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
KADIKÖY,Policlinic Private,0.0,FENERBAHÇE,40.97493374,29.05264762,Private Health Care,Low Capacity,40.27368421052631,0.8,-39.473684210526315
ÜSKÜDAR,Red Crescent,,BARBAROS,41.01808802,29.03249966,Public Health Care,,0.0,0.0,0.0
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00033481,28.87011565,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
EYÜPSULTAN,Emergency Station,3.0,TOPÇULAR,41.041621,28.9224,Emergency Care,Emergency Location,,0.0,
EYÜPSULTAN,Emergency Station,3.0,MİTHATPAŞA,41.15892397,28.91137566,Emergency Care,Emergency Location,,0.0,
EYÜPSULTAN,Policlinic Private,0.0,GÖKTÜRK MERKEZ,41.1769107,28.88780757,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
EYÜPSULTAN,Public Hospital,140.0,MERKEZ,41.05729178,28.94078404,Public Health Care,High Capacity,477.0976744186046,0.0,-477.0976744186046
BAĞCILAR,Private Hospital,72.0,YAVUZ SELİM,41.03452912,28.85490262,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
KAĞITHANE,Policlinic,0.0,HAMİDİYE,41.09165735,28.97790737,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
MALTEPE,Clinic,,FEYZULLAH,40.92471816,29.12869858,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
MALTEPE,Emergency Station,3.0,BAŞIBÜYÜK,40.95060422,29.14065035,Emergency Care,Emergency Location,,0.0,
SARIYER,Clinic,,SARIYER MERKEZ,41.16937318,29.05506168,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KAĞITHANE,Policlinic Private,0.0,GÜRSEL,41.065231,28.971792,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
ÜSKÜDAR,Private Hospital,,BURHANİYE,41.02477492,29.05822702,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
FATİH,Private Hospital,84.0,İSKENDERPAŞA,41.01473579,28.95206322,Private Health Care,Medium Capacity,59.51555555555555,2.35,-57.16555555555555
BEŞİKTAŞ,Policlinic Private,4.0,LEVENT,41.08225028,29.01365241,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
KADIKÖY,Policlinic Private,0.0,OSMANAĞA,40.98967678,29.02906476,Private Health Care,Low Capacity,40.27368421052631,0.1,-40.17368421052631
ZEYTİNBURNU,Research Hospital,105.0,TELSİZ,40.99532827,28.91471498,Research Care,High Capacity,146.86486486486487,1.2000000000000002,-145.66486486486488
ZEYTİNBURNU,Private Hospital,222.0,KAZLIÇEŞME,40.99884255,28.91757467,Private Health Care,Medium Capacity,59.51555555555555,1.35,-58.16555555555555
ŞİŞLİ,Policlinic Private,0.0,HALİDE EDİP ADIVAR,41.06248614,28.9764311,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BAŞAKŞEHİR,Clinic,,BAŞAKŞEHİR,41.11019885,28.78851984,Public Health Care,Low Capacity,6.395012468827931,16.59501246882793,10.200000000000001
BAĞCILAR,Clinic,,100. YIL,41.06127394,28.85476483,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAĞCILAR,Clinic,,SANCAKTEPE,41.03654881,28.85766719,Public Health Care,Low Capacity,6.395012468827931,29.335037406483792,22.940024937655863
KÜÇÜKÇEKMECE,Policlinic Private,0.0,CENNET,40.99230294,28.78144985,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BAĞCILAR,Emergency Station,3.0,FEVZİ ÇAKMAK,41.04292549,28.85755701,Emergency Care,Emergency Location,,0.0,
ATAŞEHİR,Private Hospital,61.0,KÜÇÜKBAKKALKÖY,40.97932234,29.10874653,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
BEYKOZ,Clinic,,GÜMÜŞSUYU,41.12756836,29.10178099,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAŞAKŞEHİR,Clinic,,BAHÇEŞEHİR 1. KISIM,41.06313948,28.68683863,Public Health Care,Low Capacity,6.395012468827931,8.19501246882793,1.799999999999999
BAŞAKŞEHİR,Clinic,,BAHÇEŞEHİR 2. KISIM,41.07262259,28.66515733,Public Health Care,Low Capacity,6.395012468827931,6.395012468827931,0.0
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00053749,28.87067489,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,41.00164754,28.86047076,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAKIRKÖY,Policlinic Private,1.0,KARTALTEPE,40.98264759,28.87337918,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
KADIKÖY,Policlinic Private,0.0,CADDEBOSTAN,40.96922525,29.06467007,Private Health Care,Low Capacity,40.27368421052631,0.2,-40.07368421052631
BAŞAKŞEHİR,Clinic,,BAHÇEŞEHİR 1. KISIM,41.06321531,28.68672665,Public Health Care,Low Capacity,6.395012468827931,4.4,-1.9950124688279303
BAŞAKŞEHİR,Policlinic Private,,BAHÇEŞEHİR 2. KISIM,41.06779839,28.66863307,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BAĞCILAR,Clinic,,BAĞLAR,41.02536608,28.82869966,Public Health Care,Low Capacity,6.395012468827931,19.88503740648379,13.490024937655859
BAHÇELİEVLER,Clinic,,HÜRRİYET,41.00286435,28.84186193,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAŞAKŞEHİR,Policlinic,0.0,BAHÇEŞEHİR 2. KISIM,41.06272063,28.68381829,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ATAŞEHİR,Private Hospital,,FERHATPAŞA,40.98604834,29.17564168,Private Health Care,Medium Capacity,59.51555555555555,7.6,-51.91555555555555
BAHÇELİEVLER,Clinic,,HÜRRİYET,40.99301967,28.84282149,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,FEVZİ ÇAKMAK,40.99982747,28.83415293,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
ESENLER,Clinic,,FATİH,41.03943783,28.86981726,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KADIKÖY,Clinic,,BOSTANCI,40.95353678,29.0946768,Public Health Care,Low Capacity,6.395012468827931,10.85,4.454987531172069
ÜSKÜDAR,Emergency Station,3.0,KÜÇÜKSU,41.0712804,29.07080401,Emergency Care,Emergency Location,,0.0,
ESENLER,Clinic,,ORUÇREİS,41.056953,28.855284,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAŞAKŞEHİR,Policlinic Private,,BAHÇEŞEHİR 1. KISIM,41.06222308,28.68962582,Private Health Care,Low Capacity,40.27368421052631,42.0,1.7263157894736878
BEYOĞLU,Private Hospital,48.0,BEREKETZADE,41.0242776,28.9743182,Private Health Care,Medium Capacity,59.51555555555555,0.0,-59.51555555555555
KADIKÖY,Policlinic Private,0.0,MERDİVENKÖY,40.98247762,29.06712072,Private Health Care,Low Capacity,40.27368421052631,10.95,-29.323684210526313
GÜNGÖREN,Clinic,,GÜVEN,41.01368256,28.87155902,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
GÜNGÖREN,Clinic,,HAZNEDAR,41.00765495,28.86977803,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAKIRKÖY,Policlinic Private,0.0,YEŞİLYURT,40.9630607,28.83495904,Private Health Care,Low Capacity,40.27368421052631,0.0,-40.27368421052631
BAHÇELİEVLER,Clinic,,SOĞANLI,41.01432539,28.86260647,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
KADIKÖY,Policlinic Private,0.0,GÖZTEPE,40.97607961,29.05134973,Private Health Care,Low Capacity,40.27368421052631,13.95,-26.323684210526313
BAĞCILAR,Clinic,,ÇINAR,41.03452558,28.85876109,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
BAHÇELİEVLER,Clinic,,BAHÇELİEVLER,40.999516,28.870081,Public Health Care,Low Capacity,6.395012468827931,0.0,-6.395012468827931
